CPU_Freq,CPU_Cores,RAM_Limit_MB,Storage_Limit_MB,FPS_Avg,FPS_Min,FPS_Max,Total_Time
600,0-1,512,256,0.13,0.00,0.22,104.02
600,0-1,512,128,0.14,0.00,0.23,98.59
600,0-1,512,64,0.14,0.00,0.23,99.84
600,0-1,256,256,0.14,0.00,0.23,102.72
600,0-1,256,128,0.14,0.00,0.23,102.64
600,0-1,256,64,0.14,0.00,0.23,100.94
600,0,1024,256,0.09,0.00,0.15,151.23
600,0,1024,128,0.09,0.00,0.15,151.33
600,0,1024,64,0.09,0.00,0.15,151.40
600,0,512,256,0.09,0.00,0.15,151.22
600,0,512,128,0.09,0.00,0.15,151.30
600,0,512,64,0.09,0.00,0.15,150.99
600,0,256,256,0.09,0.00,0.15,151.08
600,0,256,128,0.09,0.00,0.15,150.61
600,0,256,64,0.09,0.00,0.15,151.25
